drug_generic,drug_class,common_brands_india,symptoms_indications,min_age_months,max_age_months,min_weight_kg,dose_mg_per_kg,fixed_dose_mg,dose_unit,dosing_interval_hours,max_single_dose_mg,max_daily_dose,max_daily_dose_units,notes_key_safety,sources
Paracetamol,Analgesic/Antipyretic,"Crocin, Calpol, Dolo-650","Fever; Mild to moderate pain; Headache",2,144,5,10-15,,mg/kg,4.0,500.0,60.0,mg/kg,"Avoid >4g/day in adults. Use with caution in hepatic impairment.","AIIMS Guidelines, IAP"
Ibuprofen,NSAID,"Brufen, Ibugesic","Fever; Mild to moderate pain; Inflammation",6,144,7,5-10,,mg/kg,6.0,400.0,40.0,mg/kg,"Avoid in gastric ulcers, asthma, and renal disease.","IAP, NCBI"
Mefenamic Acid,NSAID,"Meftal-P, Ponstan","Pain; Menstrual cramps; Fever",6,144,7,5-7,,mg/kg,8.0,250.0,25.0,mg/kg,"Avoid in renal disease and asthma.",IAP
Diclofenac,NSAID,"Voveran, Dilona","Pain; Inflammation; Arthritis",12,144,10,1-3,,mg/kg/day,8.0,50.0,3.0,mg/kg,"Administer with food to minimize GI side effects. Avoid in known hypersensitivity to NSAIDs.","[1]"
Etoricoxib,NSAID (COX-2 Inhibitor),"Arcoxia, Nucoxia","Osteoarthritis; Rheumatoid arthritis; Gout; Ankylosing spondylitis; Acute pain",192,1000,50,,30-120,mg,24.0,120.0,120.0,mg,"Contraindicated in patients <16 years of age. Use with caution in patients with history of heart attack or stroke.","[2]"
Tramadol,Opioid Analgesic,"Contramal, Adamon, Ultram","Moderate to moderately severe pain",144,1000,40,,50-100,mg,4.0,100.0,400.0,mg,"**Contraindicated in children <12 years.** Risk of respiratory depression and addiction.","[3]"
Amoxicillin,Penicillin Antibiotic,"Amoxil, Mox, Novamox","Bacterial infections; Otitis media; Sinusitis; Pneumonia",2,144,5,20-40,,mg/kg,8.0,500.0,90.0,mg/kg,"Adjust dose in renal impairment.","WHO, IAP"
Co-amoxiclav,Penicillin Antibiotic,"Augmentin, Moxikind-CV","Bacterial infections; Sinusitis; Pneumonia; Skin infections",2,144,5,25-45,,mg/kg,12.0,625.0,90.0,mg/kg,"Diarrhea is a common side effect. Dose based on amoxicillin component.",IAP
Azithromycin,Macrolide Antibiotic,"Azithral, Zithromax","Bacterial infections; Respiratory tract infections; Skin infections",6,144,5,10,,mg/kg,24.0,500.0,500.0,mg,"Use with caution in hepatic impairment. Usually given for 3-5 days.","WHO, ICMR"
Cefixime,Cephalosporin Antibiotic,"Zifi, Mahacef","Bacterial infections; Typhoid fever; Urinary tract infections",6,144,6,8,,mg/kg,12.0,400.0,400.0,mg,"GI upset is common. Adjust dose in renal impairment.","IAP, WHO"
Cefpodoxime,Cephalosporin Antibiotic,"Macpod, Doxcef, Swich","Otitis media; Pneumonia; Tonsillitis; Pharyngitis; Enteric fever",2,144,5,5,,mg/kg,12.0,200.0,10.0,mg/kg,"Absorption decreased by antacids. Adjust dose in severe renal impairment.","[4, 5]"
Cefpodoxime,Cephalosporin Antibiotic,"Macpod, Doxcef, Swich","Community-acquired pneumonia; Tonsillitis; Pharyngitis",144,1000,40,,200,mg,12.0,200.0,400.0,mg,"Absorption decreased by antacids. Adjust dose in severe renal impairment.","[4, 5]"
Cefuroxime,Cephalosporin Antibiotic,"Ceftum, Zocef, Cefakind","Bacterial infections; Respiratory tract infections; Urinary tract infections",1,144,5,12.5-150,,mg/kg/day,6.0,1500.0,150.0,mg/kg,"Administered IV/IM. Dose varies widely with severity.","[6, 7]"
Clindamycin,Lincosamide Antibiotic,"Dalacin C, Clincin, Erytop","Serious anaerobic/staphylococcal/streptococcal infections; Skin/soft tissue infections",1,144,10,8-16,,mg/kg/day,6.0,600.0,25.0,mg/kg,"Discontinue if significant diarrhea occurs (risk of C. difficile colitis).","[8, 9]"
Doxycycline,Tetracycline Antibiotic,"Doxy-1, Vibramycin","Atypical pneumonia; Rickettsial infections; Cholera; Plague; Malaria prophylaxis",96,1000,45,2-4.4,,mg/kg/day,12.0,200.0,4.4,mg/kg,"Avoid prolonged use (>21 days) in children <8 yrs (tooth discoloration). Take with food/water, remain upright.","[10, 11]"
Ofloxacin,Fluoroquinolone Antibiotic,"Zanocin, Oflox","Bacterial infections; Typhoid fever; Complicated UTIs",12,216,10,15,,mg/kg/day,12.0,400.0,400.0,mg,"Use with caution in children due to potential risk of arthropathy.",IAP
Metronidazole,Nitroimidazole Antibiotic,"Flagyl, Metrogyl","Anaerobic bacterial infections; Protozoal infections (Amoebiasis, Giardiasis)",1,144,4,15-30,,mg/kg/day,8.0,750.0,2250.0,mg,"Avoid alcohol during and for 48h after treatment. Metallic taste is common.",WHO
Nitrofurantoin,Nitrofuran Antibiotic,"Uribid, Niftran, Martifur","Uncomplicated lower urinary tract infections (UTI)",1,144,5,1.25-1.75,,mg/kg,6.0,100.0,7.0,mg/kg,"Contraindicated in neonates (<1 month) and significant renal impairment (eGFR <45). May discolor urine brown.","[12, 13]"
Rifampicin,Rifamycin Antibiotic,"R-Cin, Rifagut","Tuberculosis; Prophylaxis of meningococcal meningitis",1,1000,5,10-20,,mg/kg,24.0,600.0,600.0,mg,"Part of multi-drug therapy for TB. Causes reddish-orange discoloration of body fluids.","[14]"
Linezolid,Oxazolidinone Antibiotic,"Lizolid, Linox, Zyvox","Vancomycin-resistant E. faecium; Complicated skin infections; Nosocomial pneumonia",0.25,144,3,10,,mg/kg,8.0,600.0,30.0,mg/kg,"Monitor CBC weekly (risk of myelosuppression). Risk of serotonin syndrome with SSRIs.","[15]"
Acyclovir,Antiviral,"Acivir, Zovirax, Herpikind","Chickenpox; Herpes simplex virus (HSV) infections; Shingles",24,1000,10,20,,mg/kg,6.0,800.0,80.0,mg/kg,"For chickenpox, start within 24h of rash onset. Ensure adequate hydration. Dose for HSV varies.","[16, 17]"
